id,name,default_code,qty_available,list_price,categ_id,uom_id
184894,"Alambre Recocido Nº 16 - 1,62 mm X 1 KG",18956,1044.5,8180.41,All / Construcción / Alambres y Tejidos,kg
191830,Alambre Recocido Nº12 2.64mm $ X Kilo (Rollo 50K) Acerbrag,76609,489.6,5726.8,All,kg
191833,Alambre Recocido Nº17 De Atar $XRollitos De 1 Kg (1.42mm),76605,2175.7,6735.49,All,kg
47011,Bolson De 1m3 De Arena,72705,10.0,146582.95,All,Units
47012,Bolson De 1m3 De Ripio Con Arena,72825,-5.0,108271.49,All,Units
40511,Cemento Comodoro 25 Kg  CPC40,73004,1695.0,10111.38,All / Construcción / Adhesivos cementicios,Units
192041,Cemento X 25 Kg  $ X Bolsa  Loma Negra,76654,3535.0,12276.87,All,Units
38899,"Clavos Espiralados 2 1/2"" $ X Kg  (Caja Granel X 25kg)",73048,1305.6,6663.99,All,kg
38898,"Clavos Espiralados 3"" $ X Kg  (Caja Granel X 25kg)",73047,1097.6,6519.46,All,kg
49242,Electrodo Duca E6013 2.5mm  $ X Kilo (Caja X 20kg),57167,165.0,7573.44,All / Ferretería,kg
16101,Filtro De Aire Briggs & Stratton De 3.5 A 5HP (Cod Fab 2006),60810,3.0,8518.4,All / Máquinas / Repuestos,Units
192859,Klaukol Impermeable Potenciado X 25 kg Nueva Presentacion,76903,466.0,19926.23,All / Construcción / Adhesivos cementicios,Units
191946,Klaukol Impermeable Potenciado x 5kg,280,-1.2,6154.3,All / Construcción / Adhesivos cementicios,Units
196094,Pistola De Riego Regulable  Sold Spray Gun - DISC,14353,3.0,21311.25,All,kg
16789,Poste Impregnado CCA 2.5mts 12/14cm,67791,389.0,17462.82,All / Construcción / Postes,Units
195146,Taladro Atornillador Percutor 13mm 20v Ingco,77288,3.0,154263.51,All / Máquinas / Taladros,Units
193556,65629,65629,51.0,14359.66,All,Units
47512,Codo A 90 MH 20MM F-F,73243,0,707.87,All,Units
47513,Codo A 90 MH 25MM F-F,73244,0,1134.77,All,Units
184112,Diluyente P/Pisc. B.Solv. 1lt,74001,0,16158.41,All,Units
184377,Fijador Concent al Agua 1lt,66920,-1.0,11203.41,All,Units
49862,GRAMPA TAPIZADO ZAFIRA VECTRA,71469,0,1554.68,All / Ferretería,Units
124680,Llave Multiple,38186,0,26267.71,All,Units
17471,W80 LIMPIA MOTORES 400 ML,69023,26.0,21125.49,All / Ferretería / Lubricantes y grasas,Units
197590,000000000000,,0,0,All,Units
197642,000000225588,,0,0,All,Units
197484,00634483800033,,0,0,All,Units
197535,020066185916,,0,0,All,Units
197644,021200975691,,0,0,All,Units
197675,028872013607,,0,0,All,Units
197517,028874020450,,0,0,All,Units
197692,028874248021,,0,0,All,Units
197580,028877476612,,0,0,All,Units
197712,031543000141,,0,0,All,Units
197648,045242570812,,0,0,All,Units
197649,045242571086,,0,0,All,Units
197511,045242639151,,0,0,All,Units
197627,051128585238,,0,0,All,Units
197521,051131769960,,0,0,All,Units
47860,075*2.2*6 CL6 UD Fortenor Potable,58995,0,46179.67,All,Units
197668,076174107890,,0,0,All,Units
197661,076174281002,,0,0,All,Units
197654,076625202235,,0,0,All,Units
197659,076625230221,,0,0,All,Units
197545,080596004088,,0,0,All,Units
197697,080596004323,,0,0,All,Units
197544,080596011826,,0,0,All,Units
197543,080596012274,,0,0,All,Units
197639,088381145763,,0,0,All,Units
197604,088381374392,,0,0,All,Units
197601,088381442756,,0,0,All,Units
197009,1% en Pistola De Riego Regulable  Sold Spray Gun - DISC,,0,0,All,Units
183454,1/2 Caña 10X1 Samac Cru X1,29308,0,255.56,All,Units
183713,1/2 Esfera 300Mm Murano,29976,0,29473.34,All,Units
183679,1/2 None 15 V/C Esm,29918,0,3594.12,All,Units
183316,1/2 None 15 V/C Esm Arm Bco,28816,0,17284.5,All,Units
183367,1/2 None 15 V/C Esm Arm Dor,29008,0,21629.72,All,Units
183282,1/2 None 15 V/C Esm Arm Neg,28762,0,17284.5,All,Units
183362,1/2 None 15 V/C Esm Arm Platil,29000,0,22281.27,All,Units
183678,1/2 None 20 V/C Esm,29917,0,7838.14,All,Units
183281,1/2 None 20 V/C Esm Arm Neg,28761,0,19146.5,All,Units
183360,1/2 None 20 V/C Esm Arm Plati,28998,0,24784.02,All,Units
182921,1/2 None 20 V/C Esmerilado Arm.Blanco,19332,0,19146.5,All,Units
182920,1/2 None 20 V/C Esmerilado Arm.Dor,19331,0,24019.75,All,Units
183677,1/2 None 25 V/C Esm,29916,0,11283.6,All,Units
183315,1/2 None 25 V/C Esm Arm Bco,28813,0,22603.05,All,Units
